category_name,category_thumbnail,category_parent_id,category_type,category_description,category_is_delete
Da,https://prod-cdn.pharmacity.io/blog/Skin-1-300x300-1.png,,disease_body_part,"Bệnh về da ảnh hưởng đến vẻ ngoài và sức khỏe tổng thể của bạn. Làm sao để nhận biết và phòng ngừa các bệnh da liễu phổ biến, đâu là các phương pháp điều trị hiệu quả nhất và những thói quen hàng ngày giúp duy trì làn da khỏe mạnh? Tìm hiểu thêm tại đây.",0
Sinh dục,https://prod-cdn.pharmacity.io/blog/XY-300x300-1.png,,disease_body_part,"Bệnh sinh dục ảnh hưởng lớn đến sức khỏe và chất lượng cuộc sống của cả nam và nữ. Làm thế nào để nhận biết sớm các triệu chứng, phòng ngừa và điều trị hiệu quả các bệnh sinh dục phổ biến? Tìm hiểu thêm về cách bảo vệ sức khỏe sinh sản của bạn tại đây.",0
Tứ chi,https://prod-cdn.pharmacity.io/blog/Hand-foot-new.png,,disease_body_part,"Bệnh tứ chi ảnh hưởng đến tay và chân, gây khó khăn trong sinh hoạt và vận động hàng ngày. Làm sao để nhận biết các triệu chứng và phòng ngừa các bệnh lý liên quan đến tứ chi? Những phương pháp điều trị hiệu quả giúp duy trì sức khỏe cho tay và chân là gì? Tìm hiểu thêm tại đây.",0
Bệnh hô hấp,,,disease_specialty,,0
Bệnh thận - Tiết niệu,,,disease_specialty,,0
Bệnh tâm lí - Tâm thần,,,disease_specialty,,0
Bệnh tai mũi họng,,,disease_specialty,,0
Sức khỏe sinh sản,,,disease_specialty,,0
Sức khỏe giới tính,,,disease_specialty,,0
Bệnh nội tiết - Chuyển hóa,,,disease_specialty,,0
Bệnh về máu,,,disease_specialty,,0
Bệnh về mắt,,,disease_specialty,,0
Bệnh thần kinh,,,disease_specialty,,0
Bệnh dị ứng,,,disease_specialty,,0
Bệnh về da,,,disease_specialty,,0
Bệnh cơ xương khớp,,,disease_specialty,,0
Bệnh răng hàm mặt,,,disease_specialty,,0
Ung thư,,,disease_specialty,,0
Bênh truyền nhiễm,,,disease_specialty,,0
Bệnh tiêu hóa,,,disease_specialty,,0
